seconds_since_start,temp_c,press_hpa,alt_m,humid_percent,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.86,23.69,980.66,274.97,56.05,0.53,-0.79,10.18,-0.01,0.02,-0.02
2.87,23.70,980.66,274.96,55.94,0.53,-0.70,10.22,-0.01,0.01,0.00
3.89,23.70,980.64,275.07,55.93,0.56,-0.69,10.17,-0.00,0.01,-0.00
4.91,23.70,980.67,274.86,55.89,0.55,-0.68,10.17,-0.00,0.01,0.01
5.93,23.70,980.65,275.03,55.86,0.57,-0.71,10.21,-0.01,0.01,0.00
6.94,23.70,980.66,274.96,55.85,0.50,-0.72,10.16,-0.01,0.01,0.01
7.96,23.70,980.65,275.04,55.86,0.49,-0.69,10.15,-0.00,0.01,0.00
8.97,23.71,980.67,274.86,55.87,0.56,-0.78,10.12,-0.01,0.01,0.01
9.99,23.71,980.65,274.99,55.88,0.50,-0.68,10.20,-0.01,0.01,-0.00
11.00,23.71,980.66,274.97,55.85,0.53,-0.69,10.21,0.00,0.01,-0.01
12.02,23.71,980.65,275.04,55.87,0.66,-0.77,10.14,-0.03,0.02,0.00
13.03,23.70,980.65,275.05,55.88,-1.10,-1.71,9.93,-0.40,0.60,-0.65
14.04,23.70,980.66,274.95,56.45,0.08,-8.07,4.98,2.71,0.75,0.96
15.06,23.70,980.63,275.24,56.78,-2.98,1.86,9.68,-0.43,1.11,-0.67
16.07,23.71,980.62,275.29,57.00,-9.40,0.64,1.05,-0.12,-0.80,0.02
17.09,23.72,980.63,275.20,57.32,-9.62,-0.19,0.05,2.10,-0.95,0.24
18.10,23.71,980.62,275.31,57.45,-3.16,3.04,9.51,-1.84,0.71,-0.38
19.12,23.71,980.62,275.26,57.36,-1.36,-8.42,4.87,-0.47,-1.12,-0.60
20.13,23.71,980.61,275.32,57.59,6.34,-0.55,9.24,1.10,2.59,-0.62
21.15,23.71,980.63,275.17,57.15,-8.14,-2.54,-3.71,-0.01,-0.38,-0.21
22.16,23.71,980.62,275.25,57.34,-7.31,3.87,2.80,-1.54,-0.10,-1.15
23.17,23.72,980.64,275.14,57.96,-5.43,-3.25,4.34,0.65,-0.45,0.92
24.19,23.71,980.66,274.94,57.61,-3.83,-0.73,9.59,1.52,0.06,0.34
25.20,23.71,980.63,275.17,57.64,-3.91,4.02,4.10,3.00,-1.49,0.54
26.22,23.71,980.62,275.27,57.67,2.59,7.49,-7.74,0.60,0.85,0.08
27.23,23.70,980.63,275.22,57.53,-0.56,6.45,7.71,0.46,0.56,-0.51
28.25,23.70,980.63,275.16,57.32,-2.99,0.09,6.71,-2.55,-0.67,-0.68
